community,n_nodes
0,4286
1,3937
2,2577
3,2465
4,1653
5,1381
6,1023
7,944
8,931
9,843
10,837
11,817
12,734
13,723
14,586
15,574
16,567
17,516
18,451
19,434
20,422
21,412
22,408
23,400
24,391
25,387
26,326
27,313
28,300
29,297
30,292
31,291
32,288
33,276
34,270
35,263
36,261
37,257
38,257
39,248
40,231
41,228
42,219
43,218
44,217
45,215
46,213
47,213
48,206
49,204
50,201
51,201
52,200
53,197
54,196
55,194
56,193
57,192
58,182
59,174
60,174
61,172
62,170
63,169
64,169
65,166
66,164
67,157
68,153
69,151
70,150
72,149
71,149
74,148
73,148
75,147
76,145
77,142
78,137
80,134
79,134
81,133
82,121
83,120
84,111
85,109
86,108
87,105
88,101
89,99
90,94
91,89
92,85
93,76
94,71
95,70
96,65
97,62
98,60
99,57
100,56
101,55
102,49
103,46
104,44
105,43
106,42
107,41
108,37
109,35
110,33
111,32
112,31
115,30
114,30
113,30
116,29
117,27
121,24
119,24
120,24
118,24
122,23
124,21
123,21
126,20
127,20
128,20
125,20
133,18
129,18
131,18
132,18
130,18
134,18
137,17
136,17
140,17
139,17
141,17
135,17
138,17
144,16
143,16
145,16
146,16
142,16
151,15
147,15
153,15
152,15
149,15
155,15
154,15
148,15
150,15
156,14
158,14
162,14
159,14
157,14
161,14
160,14
170,13
167,13
169,13
165,13
164,13
166,13
168,13
171,13
163,13
177,12
174,12
172,12
178,12
175,12
173,12
179,12
176,12
183,11
184,11
187,11
188,11
185,11
182,11
190,11
189,11
180,11
186,11
181,11
199,10
196,10
200,10
198,10
194,10
193,10
191,10
195,10
192,10
197,10
201,10
212,9
215,9
204,9
209,9
210,9
211,9
214,9
205,9
207,9
203,9
202,9
208,9
213,9
206,9
228,8
225,8
221,8
230,8
216,8
222,8
220,8
217,8
227,8
219,8
224,8
218,8
229,8
223,8
226,8
246,7
241,7
231,7
249,7
261,7
238,7
237,7
263,7
252,7
257,7
260,7
264,7
255,7
245,7
232,7
259,7
262,7
234,7
250,7
242,7
254,7
240,7
239,7
235,7
256,7
233,7
247,7
265,7
258,7
253,7
244,7
243,7
251,7
236,7
248,7
271,6
268,6
-1,6
285,6
282,6
293,6
279,6
292,6
278,6
290,6
276,6
275,6
266,6
274,6
281,6
295,6
283,6
270,6
280,6
289,6
277,6
286,6
287,6
272,6
291,6
269,6
294,6
284,6
267,6
288,6
273,6
336,5
306,5
326,5
296,5
297,5
311,5
305,5
335,5
323,5
332,5
310,5
313,5
317,5
321,5
329,5
337,5
300,5
324,5
319,5
299,5
309,5
308,5
301,5
325,5
315,5
312,5
331,5
314,5
334,5
318,5
307,5
298,5
320,5
316,5
302,5
333,5
303,5
304,5
322,5
327,5
330,5
328,5
338,5
351,4
365,4
399,4
358,4
348,4
388,4
395,4
357,4
359,4
340,4
356,4
355,4
341,4
383,4
373,4
368,4
342,4
361,4
354,4
376,4
380,4
379,4
362,4
353,4
346,4
372,4
397,4
391,4
375,4
367,4
345,4
350,4
371,4
377,4
393,4
344,4
378,4
382,4
396,4
352,4
385,4
349,4
347,4
360,4
394,4
398,4
384,4
400,4
339,4
363,4
386,4
381,4
389,4
343,4
374,4
369,4
390,4
387,4
364,4
392,4
366,4
370,4
474,3
463,3
443,3
442,3
469,3
452,3
456,3
450,3
475,3
447,3
482,3
454,3
470,3
473,3
449,3
468,3
446,3
453,3
419,3
430,3
483,3
477,3
444,3
466,3
472,3
451,3
480,3
485,3
471,3
441,3
415,3
478,3
457,3
404,3
467,3
436,3
426,3
425,3
424,3
405,3
455,3
465,3
418,3
423,3
460,3
420,3
431,3
481,3
440,3
406,3
416,3
407,3
422,3
408,3
414,3
417,3
413,3
412,3
464,3
459,3
409,3
445,3
411,3
484,3
410,3
479,3
439,3
461,3
403,3
401,3
432,3
427,3
448,3
476,3
437,3
438,3
421,3
429,3
435,3
434,3
433,3
458,3
428,3
462,3
402,3
493,2
496,2
550,2
495,2
539,2
556,2
561,2
497,2
549,2
529,2
515,2
564,2
566,2
572,2
505,2
551,2
577,2
575,2
571,2
557,2
508,2
555,2
487,2
488,2
573,2
563,2
489,2
558,2
486,2
553,2
552,2
568,2
527,2
570,2
562,2
490,2
492,2
491,2
560,2
545,2
498,2
554,2
534,2
533,2
512,2
513,2
514,2
532,2
531,2
530,2
528,2
548,2
516,2
517,2
565,2
526,2
525,2
524,2
518,2
519,2
520,2
523,2
576,2
494,2
521,2
535,2
536,2
511,2
544,2
499,2
500,2
567,2
547,2
501,2
502,2
503,2
546,2
504,2
522,2
543,2
537,2
542,2
506,2
541,2
540,2
507,2
538,2
509,2
559,2
569,2
510,2
574,2
